lab_code,mortality_id,field_code,smu_format,pathology_num,date_found,site,sex,estimated_age,length_cm,weight_kg,preservation_code,category,broad_category,cancer,digestive_cancer,mammary_cancer
Bel00280,124,DL2000-01,DL-01-00,00-B006,22-07-2000,"Trois-Pistoles (au large)",F,11,353,316,3,"Dystocia / postpartum complication","Dystocia / postpartum complication",0,0,0
Bel01353,124,DL2000-01,DL-01-00,00-B006,22-07-2000,"Trois-Pistoles (au large)",F,11,353,316,3,"Dystocia / postpartum complication","Dystocia / postpartum complication",0,0,0
Bel00316,129,DL2001-01,DL-01-01,01-5794,18-04-2001,Pointe-au-Père,M,48,440,1226,3,"Verminous bronchopneumonia",Infectious,0,0,0
Bel00317,129,DL2001-01,DL-01-01,01-5794,18-04-2001,Pointe-au-Père,M,48,440,1226,3,"Verminous bronchopneumonia",Infectious,0,0,0
Bel00318,129,DL2001-01,DL-01-01,01-5794,18-04-2001,Pointe-au-Père,M,48,440,1226,3,"Verminous bronchopneumonia",Infectious,0,0,0
Bel00366,136,DL2002-01,DL-01-02,02-5218,07-04-2002,Saint-Irénée,F,56,376,698,3,Neoplasia,Neoplasia,1,1,1
Bel00367,136,DL2002-01,DL-01-02,02-5218,07-04-2002,Saint-Irénée,F,56,376,698,3,Neoplasia,Neoplasia,1,1,1
Bel00368,136,DL2002-01,DL-01-02,02-5218,07-04-2002,Saint-Irénée,F,56,376,698,3,Neoplasia,Neoplasia,1,1,1
Bel00405,145,DL2003-01,DL-01-03,03-3597,22-05-2003,Sainte-Flavie,M,36,413,965,4,Trauma,"Antropogenic causes",0,0,0
Bel00406,145,DL2003-01,DL-01-03,03-3597,22-05-2003,Sainte-Flavie,M,36,413,965,4,Trauma,"Antropogenic causes",0,0,0
Bel00459,153,DL2004-01,DL-01-04,04-4908,10-05-2004,Sainte-Luce,F,12,334,655,3,Toxoplasmosis,Infectious,0,0,0
Bel00460,153,DL2004-01,DL-01-04,04-4908,10-05-2004,Sainte-Luce,F,12,334,655,3,Toxoplasmosis,Infectious,0,0,0
Bel00505,163,DL2005-01,DL-01-05,05-5811,13-05-2005,Saint-Ulric,M,38,420,992,3,Undetermined,Undetermined,0,0,0
Bel00506,163,DL2005-01,DL-01-05,05-5811,13-05-2005,Saint-Ulric,M,38,420,992,3,Undetermined,Undetermined,0,0,0
Bel00859,169,DL2006-01,DL-01-06,06-7004,11-07-2006,Pointe-au-Père,M,55,436,903,3.5,Neoplasia,Neoplasia,1,1,0
Bel01341,169,DL2006-01,DL-01-06,06-7004,11-07-2006,Pointe-au-Père,M,55,436,903,3.5,Neoplasia,Neoplasia,1,1,0
Bel00572,172,DL2007-01,DL-01-07,07-5120,23-05-2007,Bergeronnes,M,58,422,1042,3.5,"Degenerative changes","Other non-infetious causes",0,0,0
Bel00573,172,DL2007-01,DL-01-07,07-5120,23-05-2007,Bergeronnes,M,58,422,1042,3.5,"Degenerative changes","Other non-infetious causes",0,0,0
Bel00633,182,DL2008-01,DL-01-08,08-2238,03-05-2008,Rivière-Ouelle,M,21,428,961,3.5,Other,"Other non-infetious causes",0,0,0
Bel00634,182,DL2008-01,DL-01-08,08-2238,03-05-2008,Rivière-Ouelle,M,21,428,961,3.5,Other,"Other non-infetious causes",0,0,0
Bel00710,189,DL2009-01,DL-01-09,P194-09,16-06-2009,Sainte-Luce,F,12,325,425,2,"Degenerative changes","Other non-infetious causes",0,0,0
Bel00741,194,DL2010-01,DL-01-10,P460-10,09-03-2010,Saint-Ulric,F,2,229,206,2,"Verminous bronchopneumonia",Infectious,0,0,0
Bel00742,194,DL2010-01,DL-01-10,P460-10,09-03-2010,Saint-Ulric,F,2,229,206,2,"Verminous bronchopneumonia",Infectious,0,0,0
Bel00812,205,DL2011-01,DL-01-11,P1081-11,07-04-2011,Sainte-Flavie,M,2,231,145,2.5,Trauma,"Antropogenic causes",0,0,0
Bel00813,205,DL2011-01,DL-01-11,P1081-11,07-04-2011,Sainte-Flavie,M,2,231,145,2.5,Trauma,"Antropogenic causes",0,0,0
Bel00003,22,DL1987-01,DL-01-87,87-2823,1987-07-03,Sainte-Luce,F,37,344,662,2.5,Undetermined,Undetermined,0,0,0
Bel01352,25,DL1988-01,DL-01-88,88-2642,1988-05-29,Sainte-Flavie,M,6,315,461,2.5,Undetermined,Undetermined,0,0,0
Bel00030,35,DL1989-01,DL-01-89,89-2057,1989-04-26,Sainte-Flavie,M,45,402,1039,3,Undetermined,Undetermined,0,0,0
Bel00049,43,DL1990-01,DL-01-90,90-1773,1990-04-08,"Bic Baie-des-Roses",M,46,417,1220,2.5,Neoplasia,Neoplasia,1,1,0
Bel00060,49,DL1991-01,DL-01-91,91-2978,1991-06-08,Kamouraska,F,35,375,663,2,"Verminous gastro-enteritis / peritonitis",Infectious,0,0,0
Bel00081,71,DL1994-01,DL-01-94,94-3834,1994-05-24,Tadoussac,M,60,456,1285,2,Neoplasia,Neoplasia,1,0,0
Bel00090,78,DL1995-01,DL-01-95,95-3963,1995-05-14,Saint-Fabien-sur-Mer,F,53,370,437,2,"Primary starvation","Primary starvation",0,0,0
Bel00122,90,DL1996-01,DL-01-96,96-2833,1996-04-10,"Les Escoumins",M,42,427,996,2,"Infectious - bacterial",Infectious,0,0,0
Bel00154,99,DL1997-01,DL-01-97,97-4579,1997-05-03,Rivière-Ouelle,M,16,396,931,3,Undetermined,Undetermined,0,0,0
Bel00155,99,DL1997-01,DL-01-97,97-4579,1997-05-03,Rivière-Ouelle,M,16,396,931,3,Undetermined,Undetermined,0,0,0
Bel00191,106,DL1998-01,DL-01-98,98-1966,1998-03-06,Sainte-Flavie,F,5,277,381,2,"Verminous bronchopneumonia",Infectious,0,0,0
Bel00192,106,DL1998-01,DL-01-98,98-1966,1998-03-06,Sainte-Flavie,F,5,277,381,2,"Verminous bronchopneumonia",Infectious,0,0,0
Bel00237,115,DL1999-01,DL-01-99,99-4438,08-04-1999,Sainte-Flavie,M,35,402,821,2.5,Toxoplasmosis,Infectious,0,0,0
Bel00281,125,DL2000-02,DL-02-00,00-B201,26-07-2000,Tadoussac,F,9,316,284,3.5,"Dystocia / postpartum complication","Dystocia / postpartum complication",0,0,0
