lab_code,mortality_id,field_code,smu_format,pathology_num,date_found,site,sex,estimated_age,length_cm,weight_kg,preservation_code,category,broad_category,cancer,digestive_cancer,mammary_cancer
Bel00574,173,DL2007-02,DL-02-07,07-5160,27-05-2007,Sainte-Luce,F,44,397,716,2,Undetermined,Undetermined,0,0,0
Bel00576,174,DL2007-03,DL-03-07,07-6401,01-07-2007,Île Verte,F,50,374,680,3,Neoplasia,Neoplasia,1,1,1
Bel00001,7,DL1984-04,DL-04-84,84-2633,1984-06-24,Grand-Metis,F,36,374,0,2,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00580,175,DL2007-04,DL-04-07,07-6402,03-07-2007,Anse-Pleureuse,F,28,380,841,3.5,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00003,22,DL1987-01,DL-01-87,87-2823,1987-07-03,Sainte-Luce,F,37,344,662,2.5,Undetermined,Undetermined,0,0,0
Bel00584,176,DL2007-05,DL-05-07,08-3529,08-06-2007,Trois-Pistoles,M,0,148,46,2.5,Neonatal mortality,Neonatal mortality,0,0,0
Bel00005,24,DL1987-03,DL-03-87,87-3898,1987-09-17,Pointe-au-Père,F,38,360,609,3,Infectious - undetermined,Infectious,0,0,0
Bel00586,177,DL2007-06,DL-06-07,07-7824,17-08-2007,Saint-Simon-sur-mer,F,55,366,741,3.5,Neoplasia,Neoplasia,1,1,1
Bel00013,26,DL1988-04,DL-04-88,88-3306,1988-07-15,Pointe-au-Père,F,42,362,583,2,Protozoal pneumonia,Infectious,1,0,0
Bel00588,159,DL2004-07,DL-07-04,04-9121,19-08-2004,Les Méchins,F,0,161,51,2,Neonatal mortality,Neonatal mortality,0,0,0
Bel00016,27,DL1988-07,DL-07-88,88-3552,1988-08-02,Matane,M,39,402,781,2,Infectious - bacterial,Infectious,0,0,0
Bel00589,178,DL2007-07,DL-07-07,07-8073,25-08-2007,Saint-Fabien-sur-mer,F,38,338,635,3,Infectious - bacterial,Infectious,0,0,0
Bel00018,29,DL1988-09,DL-09-88,88-4436,1988-10-07,Chenal sud - RDL,F,45,365,0,2,Neoplasia,Neoplasia,1,1,1
Bel00593,179,DL2007-08,DL-08-07,07-8525,11-09-2007,Rimouski,F,38,360,614,2,Undetermined,Undetermined,0,0,0
Bel00019,30,DL1988-10,DL-10-88,88-4465,1988-10-11,Saint-Germain-de-Kamouraska,F,2,228,193,2,Verminous bronchopneumonia,Infectious,0,0,0
Bel00595,180,DL2007-09,DL-09-07,07-8905,22-09-2007,Forestville,M,50,405,998,2.5,Infectious - bacterial,Infectious,0,0,0
Bel00022,32,DL1988-12,DL-12-88,88-4703,1988-10-24,Port-au-Persil,F,32,352,617,2,Undetermined,Undetermined,0,0,0
Bel00035,38,DL1989-04,DL-04-89,89-2859,1989-06-13,Rivière-du-Loup (au large),F,40,335,614,2,Undetermined,Undetermined,0,0,0
Bel00597,181,DL2007-10,DL-10-07,07-A977,25-11-2007,Baie-des-Sables,M,24,392,850,2.5,Undetermined,Undetermined,0,0,0
Bel00039,42,DL1989-08,DL-08-89,89-5556,1989-12-06,Sainte-Félicité,M,45,419,0,2.5,Neoplasia,Neoplasia,1,0,0
Bel00635,183,DL2008-02,DL-02-08,08-2699,07-06-2008,Portneuf-sur-Mer,F,37,370,645,3.5,Neoplasia,Neoplasia,1,1,0
Bel00049,43,DL1990-01,DL-01-90,90-1773,1990-04-08,Bic Baie-des-Roses,M,46,417,1220,2.5,Neoplasia,Neoplasia,1,1,0
Bel00710,189,DL2009-01,DL-01-09,P194-09,16-06-2009,Sainte-Luce,F,12,325,425,2,Degenerative changes,Other non-infetious causes,0,0,0
Bel00055,48,DL1990-06,DL-06-90,90-4739,1990-10-03,Petit-Matane,M,49,413,842,2.5,Undetermined,Undetermined,0,0,0
Bel00711,190,DL2009-02,DL-02-09,P507-09,29-07-2009,Tadoussac,M,1,196,124,2.5,Infectious - undetermined,Infectious,0,0,0
Bel00062,52,DL1991-04,DL-04-91,91-4295,1991-08-30,Forestville,M,0,155,59,1->2,Neonatal mortality,Neonatal mortality,0,0,0
Bel00071,64,DL1993-03,DL-03-93,93-4278,1993-06-18,Îles-du-Bic (au large),M,18,0,0,3,Undetermined,Undetermined,0,0,0
Bel00713,191,DL2009-03,DL-03-09,P532-09,01-08-2009,Sainte-Flavie,M,49,414,867,3,Protozoal pneumonia,Infectious,0,0,0
Bel00078,69,DL1993-08,DL-08-93,93-7158,1993-10-20,Les Méchins,F,16,355,578,2,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00715,192,DL2009-04,DL-04-09,P782-09,03-09-2009,Matane,M,0,165,63,2,Fishing gear,Antropogenic causes,0,0,0
Bel00081,71,DL1994-01,DL-01-94,94-3834,1994-05-24,Tadoussac,M,60,456,1285,2,Neoplasia,Neoplasia,1,0,0
Bel00717,193,DL2009-05,DL-05-09,P855-09,15-09-2009,Pointe-au-Père,F,48,358,728,2,Undetermined,Undetermined,0,0,0
Bel00083,74,DL1994-04,DL-04-94,94-7002,1994-09-23,Saint-Joachim-de-Tourelles,F,14,339,388,2.5,Verminous bronchopneumonia,Infectious,0,0,0
Bel00719,161,DL2004-09,DL-09-04,04-A135,10-10-2004,Métis-sur-Mer,M,25,300,436,2,Infectious - viral,Infectious,0,0,0
Bel00091,79,DL1995-02,DL-02-95,95-4138,1995-05-21,Rivière-Ouelle,F,50,331,583,2,Neoplasia,Neoplasia,1,1,0
Bel00092,80,DL1995-03,DL-03-95,95-4668,1995-05-30,Métis-sur-Mer,M,52,384,758,3,Degenerative changes,Other non-infetious causes,0,0,0
Bel00741,194,DL2010-01,DL-01-10,P460-10,09-03-2010,Saint-Ulric,F,2,229,206,2,Verminous bronchopneumonia,Infectious,0,0,0
Bel00094,82,DL1995-05,DL-05-95,95-5201,1995-06-30,Saint-Ulric,F,42,370,707,2.5,Trauma,Antropogenic causes,0,0,0
Bel00743,195,DL2010-02,DL-02-10,P855-10,21-03-2010,Sainte-Félicité,F,1,209,141,2,Verminous bronchopneumonia,Infectious,0,0,0
Bel00096,85,DL1995-08,DL-08-95,95-6240,1995-08-10,Bic,F,0,157,64,2,Neonatal mortality,Neonatal mortality,0,0,0
Bel00097,86,DL1995-09,DL-09-95,95-6418,1995-08-18,Pointe-au-Pic,M,3,247,278,2,Verminous bronchopneumonia,Infectious,0,0,0
Bel00747,197,DL2010-04,DL-04-10,P1132-10 ,09-06-2010,Sainte-Luce,F,42,369,762,3.5,Toxoplasmosis,Infectious,0,0,0
Bel00098,87,DL1995-10,DL-10-95,95-6561,1995-08-23,Rivière-du-Loup,M,0,168,74,3,Neonatal mortality,Neonatal mortality,0,0,0
Bel00749,198,DL2010-05,DL-05-10,P1141-10,10-06-2010,Rimouski 48 25 46 N X 68 35 46 W,F,51,363,636,2.5,Verminous gastro-enteritis / peritonitis,Infectious,0,0,0
Bel00751,199,DL2010-06,DL-06-10,P1368-10,16-07-2010,Rimouski 48 37 5 N X 68 34 1 W,F,18,348,667,2.5,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00122,90,DL1996-01,DL-01-96,96-2833,1996-04-10,Les Escoumins,M,42,427,996,2,Infectious - bacterial,Infectious,0,0,0
Bel00753,200,DL2010-07,DL-07-10,P1448-10,31-07-2010,Sainte-Flavie 48 38.326 N X 68 0.71 W,F,40,371,909,2,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00123,91,DL1996-02,DL-02-96,96-3971,1996-05-16,Kamouraska,F,9,325,304,3,Verminous bronchopneumonia,Infectious,0,0,0
Bel00755,201,DL2010-08,DL-08-10,P1632-10,29-08-2010,Sainte-Flavie 48 36 23 N X 68 14 28 W,F,31,369,729,3,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
Bel00124,93,DL1996-04,DL-04-96,96-5738,1996-07-22,Bic,M-F,34,420,868,2,Infectious - bacterial,Infectious,0,0,0
Bel00757,202,DL2010-09,DL-09-10,P6-11,04-11-2010,Sacré-Cœur Rimouski 48 25 29 N X 68 36 12 W,M,1,175,90,2,Verminous bronchopneumonia,Infectious,0,0,0
Bel00125,94,DL1996-05,DL-05-96,96-5794,1996-07-23,Saint-Joseph-de-la-Rive,F,38,346,483,3,Neoplasia,Neoplasia,1,0,0
Bel00759,203,DL2010-10,DL-10-10,P7-11,31-12-2010,Ilot Flocon Saint-Fabien sur Mer 48 19 57 N X 68 51 01 W,M,2,165,85,2,Infectious - viral,Infectious,0,0,0
Bel00126,95,DL1996-06,DL-06-96,96-6322,1996-08-11,Sainte-Luce,F,0,145,46,2,Neonatal mortality,Neonatal mortality,0,0,0
Bel00812,205,DL2011-01,DL-01-11,P1081-11,07-04-2011,Sainte-Flavie,M,2,231,145,2.5,Trauma,Antropogenic causes,0,0,0
Bel00127,97,DL1996-08,DL-08-96,96-8218,1996-10-18,Petit-Matane,F,2,216,151,2,Verminous bronchopneumonia,Infectious,0,0,0
Bel00814,206,DL2011-02,DL-02-11,P908-11,19-05-2011,Rimouski,F,44,365,839,2,Dystocia / postpartum complication,Dystocia / postpartum complication,0,0,0
